millis,stamp,datetime,light,temp,vcc
30000, 1273007419, "2010/5/4 21:10:19", 65, 81.56, 4.04
31000, 1273007420, "2010/5/4 21:10:20", 523, 81.56, 4.04
32000, 1273007421, "2010/5/4 21:10:21", 524, 81.56, 4.04
33000, 1273007422, "2010/5/4 21:10:22", 530, 81.56, 4.02
34000, 1273007423, "2010/5/4 21:10:23", 530, 82.15, 4.04
35000, 1273007424, "2010/5/4 21:10:24", 531, 82.15, 4.02
36000, 1273007425, "2010/5/4 21:10:25", 531, 82.74, 4.01
37000, 1273007426, "2010/5/4 21:10:26", 531, 82.74, 3.97
38000, 1273007427, "2010/5/4 21:10:27", 532, 82.74, 4.07
39000, 1273007428, "2010/5/4 21:10:28", 530, 82.74, 4.01
40000, 1273007429, "2010/5/4 21:10:29", 474, 82.74, 4.01
41000, 1273007430, "2010/5/4 21:10:30", 516, 82.74, 4.01
42000, 1273007431, "2010/5/4 21:10:31", 231, 82.74, 4.01
43000, 1273007432, "2010/5/4 21:10:32", 217, 82.74, 4.01
44000, 1273007433, "2010/5/4 21:10:33", 223, 82.74, 4.01
45000, 1273007434, "2010/5/4 21:10:34", 224, 82.74, 4.01
46000, 1273007435, "2010/5/4 21:10:35", 224, 82.74, 3.97
47000, 1273007436, "2010/5/4 21:10:36", 223, 82.74, 4.07
48000, 1273007437, "2010/5/4 21:10:37", 223, 82.74, 4.01
49000, 1273007438, "2010/5/4 21:10:38", 223, 82.74, 4.01
50000, 1273007439, "2010/5/4 21:10:39", 223, 82.74, 4.01
51000, 1273007440, "2010/5/4 21:10:40", 222, 82.74, 4.01
52001, 1273007441, "2010/5/4 21:10:41", 222, 82.74, 4.01
53000, 1273007442, "2010/5/4 21:10:42", 222, 82.74, 4.01
54000, 1273007443, "2010/5/4 21:10:43", 221, 82.74, 4.01
55000, 1273007444, "2010/5/4 21:10:44", 221, 82.74, 4.01
56000, 1273007445, "2010/5/4 21:10:45", 215, 82.74, 3.99
57000, 1273007446, "2010/5/4 21:10:46", 216, 82.74, 4.01
58000, 1273007447, "2010/5/4 21:10:47", 215, 82.74, 4.01
59000, 1273007448, "2010/5/4 21:10:48", 214, 82.74, 4.01
60000, 1273007449, "2010/5/4 21:10:49", 215, 82.74, 4.01
61000, 1273007450, "2010/5/4 21:10:50", 213, 82.74, 4.01
62000, 1273007451, "2010/5/4 21:10:51", 213, 82.74, 4.01
63000, 1273007452, "2010/5/4 21:10:52", 208, 82.74, 3.88
64000, 1273007453, "2010/5/4 21:10:53", 218, 82.74, 4.05
65000, 1273007454, "2010/5/4 21:10:54", 216, 83.33, 3.99
66000, 1273007455, "2010/5/4 21:10:55", 217, 83.33, 3.99
67000, 1273007456, "2010/5/4 21:10:56", 217, 83.33, 4.01
68000, 1273007457, "2010/5/4 21:10:57", 218, 82.74, 4.01
69000, 1273007458, "2010/5/4 21:10:58", 217, 83.33, 3.99
70000, 1273007459, "2010/5/4 21:10:59", 221, 82.74, 3.99
71000, 1273007460, "2010/5/4 21:11:0", 521, 83.33, 4.01
72000, 1273007461, "2010/5/4 21:11:1", 525, 82.74, 3.97
73000, 1273007462, "2010/5/4 21:11:2", 523, 82.74, 4.05
74000, 1273007463, "2010/5/4 21:11:3", 260, 82.74, 4.01
75000, 1273007464, "2010/5/4 21:11:4", 238, 83.92, 3.99
76000, 1273007465, "2010/5/4 21:11:5", 232, 83.92, 3.98
77000, 1273007466, "2010/5/4 21:11:6", 234, 84.51, 3.98
78000, 1273007467, "2010/5/4 21:11:7", 227, 86.86, 3.94
79000, 1273007468, "2010/5/4 21:11:8", 224, 88.63, 3.90
80000, 1273007469, "2010/5/4 21:11:9", 229, 88.63, 3.90
81000, 1273007470, "2010/5/4 21:11:10", 520, 88.63, 3.87
82000, 1273007471, "2010/5/4 21:11:11", 523, 88.04, 3.94
83000, 1273007472, "2010/5/4 21:11:12", 522, 86.86, 3.92
84000, 1273007473, "2010/5/4 21:11:13", 524, 86.27, 3.92
85000, 1273007474, "2010/5/4 21:11:14", 524, 85.68, 3.95
86000, 1273007475, "2010/5/4 21:11:15", 525, 85.68, 3.95
87000, 1273007476, "2010/5/4 21:11:16", 524, 85.09, 3.97
88000, 1273007477, "2010/5/4 21:11:17", 526, 85.09, 3.97
89000, 1273007478, "2010/5/4 21:11:18", 722, 85.09, 3.97
90000, 1273007479, "2010/5/4 21:11:19", 703, 85.09, 3.92
91000, 1273007480, "2010/5/4 21:11:20", 704, 84.51, 4.02
92000, 1273007481, "2010/5/4 21:11:21", 702, 84.51, 3.97
93000, 1273007482, "2010/5/4 21:11:22", 705, 84.51, 3.97
94000, 1273007483, "2010/5/4 21:11:23", 704, 84.51, 3.98
95000, 1273007484, "2010/5/4 21:11:24", 705, 84.51, 3.97
96000, 1273007485, "2010/5/4 21:11:25", 704, 84.51, 3.98
97000, 1273007486, "2010/5/4 21:11:26", 732, 84.51, 3.98
98000, 1273007487, "2010/5/4 21:11:27", 857, 83.92, 3.98
99000, 1273007488, "2010/5/4 21:11:28", 874, 83.92, 3.95
100000, 1273007489, "2010/5/4 21:11:29", 903, 83.92, 4.04
101000, 1273007490, "2010/5/4 21:11:30", 901, 83.92, 3.99
102000, 1273007491, "2010/5/4 21:11:31", 910, 83.33, 3.99
103000, 1273007492, "2010/5/4 21:11:32", 951, 83.33, 3.99
104000, 1273007493, "2010/5/4 21:11:33", 961, 83.33, 4.01
105000, 1273007494, "2010/5/4 21:11:34", 939, 83.33, 4.01
106000, 1273007495, "2010/5/4 21:11:35", 780, 82.74, 4.01
107000, 1273007496, "2010/5/4 21:11:36", 299, 82.74, 4.01
108000, 1273007497, "2010/5/4 21:11:37", 365, 82.74, 4.01
109000, 1273007498, "2010/5/4 21:11:38", 363, 82.74, 3.99
110000, 1273007499, "2010/5/4 21:11:39", 363, 82.74, 4.02
111000, 1273007500, "2010/5/4 21:11:40", 363, 82.74, 4.02
112000, 1273007501, "2010/5/4 21:11:41", 362, 82.15, 4.02
113000, 1273007502, "2010/5/4 21:11:42", 362, 82.15, 4.01
114000, 1273007503, "2010/5/4 21:11:43", 361, 82.15, 4.02
115000, 1273007504, "2010/5/4 21:11:44", 359, 82.15, 4.02
116000, 1273007505, "2010/5/4 21:11:45", 359, 82.15, 3.98
117000, 1273007506, "2010/5/4 21:11:46", 358, 82.15, 4.07
118000, 1273007507, "2010/5/4 21:11:47", 359, 82.15, 4.02
119000, 1273007508, "2010/5/4 21:11:48", 358, 82.15, 4.02
120000, 1273007509, "2010/5/4 21:11:49", 358, 82.15, 4.04
121000, 1273007510, "2010/5/4 21:11:50", 356, 82.15, 4.02
122000, 1273007511, "2010/5/4 21:11:51", 356, 82.15, 4.02
123000, 1273007512, "2010/5/4 21:11:52", 357, 81.56, 4.04
124000, 1273007513, "2010/5/4 21:11:53", 356, 81.56, 4.02
125000, 1273007514, "2010/5/4 21:11:54", 357, 81.56, 3.99
126000, 1273007515, "2010/5/4 21:11:55", 357, 81.56, 4.08
127000, 1273007516, "2010/5/4 21:11:56", 358, 81.56, 4.02
128000, 1273007517, "2010/5/4 21:11:57", 357, 81.56, 4.04
129000, 1273007518, "2010/5/4 21:11:58", 357, 81.56, 4.02
130000, 1273007519, "2010/5/4 21:11:59", 358, 81.56, 4.04
131000, 1273007520, "2010/5/4 21:12:0", 358, 81.56, 4.02
132000, 1273007521, "2010/5/4 21:12:1", 357, 81.56, 4.02
133000, 1273007522, "2010/5/4 21:12:2", 358, 81.56, 4.04
134000, 1273007523, "2010/5/4 21:12:3", 357, 81.56, 4.02
135000, 1273007524, "2010/5/4 21:12:4", 356, 81.56, 4.02
136000, 1273007525, "2010/5/4 21:12:5", 358, 81.56, 4.02
137000, 1273007526, "2010/5/4 21:12:6", 362, 81.56, 4.02
